	S1_1	S1_2	S5_1	S5_2	log2FC	mean
MMVL30_FL40	11.574384695136311	11.911316083848693	29.266678798701623	30.596506932996242	1.3136303636382571	16.932503374864222
RLTR6_FL282	4.321302134554135	4.2526209072862855	11.13582745458761	11.52130328893058	1.3050929925485315	6.507229355581428
MMVL30_FL99	4.321302134554135	4.2526209072862855	11.13582745458761	11.52130328893058	1.3050929925485315	6.507229355581428
MMVL30_FL77	0.06196759267085141	0.1222629550401584	0.9373065624633671	0.9866897265720042	1.3039915060461418	0.6824436685585046
RLTR6_FL1	3.9233162654694125	3.8391639931330066	9.539495839570346	10.699191893252625	1.2772834356899208	5.855690285423062
MMVL30_FL2	3.9233162654694125	3.8391639931330066	9.539495839570346	10.699191893252625	1.2772834356899208	5.855690285423062
MMVL30_FL50	16.85054646810302	18.003341959013294	42.70604726045321	43.02132602687925	1.2743578246578613	24.371123907821325
MMVL30_FL23	12.556979538651373	13.59180388014964	31.050536735944565	32.84636983228789	1.2572621611568575	18.260590429638064
MMVL30_FL13	1.638834016425011	1.8521433137002445	4.875993055505154	4.642834689884217	1.227872589944401	2.8475355330918055
MMVL30_FL10	0.7812510816497057	1.2565733730466762	3.2318895946476007	2.8750618797406546	1.226192344820885	1.8741936547811044
MMVL30_FL27	0.4741420926361515	0.39129943944850465	1.9040472790745246	1.3416106541697776	1.1864709970412344	1.0595140924740387
MMVL30_FL26	0.4842568728821051	0.29061926776701974	1.5580341513079832	1.3636316387356786	1.143748242272031	0.9680580345929636
MMVL30_FL22	3.2887617263157884	3.236354366162334	7.318058774301481	8.105991620936498	1.1260242152087692	4.615038140584974
RLTR6_FL165	7.441334535774019	7.874226542349956	16.841235983211707	17.6157936491854	1.119823080029433	10.178482758110103
MMVL30_FL75	7.441334535774019	7.874226542349956	16.841235983211707	17.6157936491854	1.119823080029433	10.178482758110103
MMVL30_FL65	1.789801874120444	1.3437905468789393	3.8225712961366147	3.9632796026070203	1.0877858725464273	2.4014458384578887
MMVL30_FL12	0.3270635989003925	0.3023183343124219	1.2915874206090485	1.122846593045526	1.0673216364667157	0.8222275166668209
RLTR6_FL30	0.3270635989003925	0.3023183343124219	1.2915874206090485	1.122846593045526	1.0673216364667157	0.8222275166668209
MMVL30_FL94	1.0240377730594605	0.7388115752361257	2.256506530180054	2.3731916751042244	1.0269006874192568	1.4838896481998243
RLTR6_FL124	7.133551345203068	6.658778859857737	14.564609083807769	13.425120588065193	0.9706925452924714	8.550550484445248
MMVL30_FL60	7.133551345203068	6.658778859857737	14.564609083807769	13.425120588065193	0.9706925452924714	8.550550484445248
MMVL30_FL29	0.48018768671541834	0.41913659785253304	1.1994324011895328	1.4679477213798329	0.9492635609319563	0.9031935936138547
RLTR6_FL307	0.5458249975327243	0.4934729608175762	1.3958008152209909	1.5393310076859923	0.9483393848867776	0.9845538332288122
MMVL30_FL104	0.5458249975327243	0.4934729608175762	1.3958008152209909	1.5393310076859923	0.9483393848867776	0.9845538332288122
MMVL30_FL30	1.2385722795000866	1.2205470218830978	2.6293080943506877	3.040875607850306	0.947321723331736	1.8153249453831826
MMVL30_FL61	1.6055175045851922	1.2970026848114053	3.006262438282016	3.3278540673910966	0.9102170881807008	2.0293707566500823
MMVL30_FL14	1.1482932737207394	0.7767837876831167	2.23496120792126	2.2458196278963225	0.905906812567833	1.4623529419578545
RLTR6_FL178	1.3909135019433512	1.6397682434194942	3.2078255385127417	3.3127275110502103	0.8998148839664116	2.090209935778442
MMVL30_FL82	1.3909135019433512	1.6397682434194942	3.2078255385127417	3.3127275110502103	0.8998148839664116	2.090209935778442
RLTR6_FL110	0.28810866385090106	0.27689705920462704	0.8858881478893513	1.0234161475118326	0.8945062684444949	0.6737632573802415
MMVL30_FL56	0.28810866385090106	0.27689705920462704	0.8858881478893513	1.0234161475118326	0.8945062684444949	0.6737632573802415
MMVL30_FL95	0.7305960462001482	0.6700741960870144	1.57104070091382	1.8765426024290404	0.889584379862479	1.1475675850985005
MMVL30_FL72	4.520813554867995	4.537878626184916	9.180075730405225	8.449023620755824	0.8891151870565781	5.5153813438541075
MMVL30_FL101	0.24104278768752802	0.31818415242480436	1.0154001635707457	0.8721169064382556	0.8889985526576828	0.6671485125558033
MMVL30_FL62	0.5742956763943171	0.5890226134914601	1.3609397085147121	1.585115659470418	0.8671652537647269	0.9953077823271268
RLTR6_FL128	0.5742956763943171	0.5890226134914601	1.3609397085147121	1.585115659470418	0.8671652537647269	0.9953077823271268
RLTR6_FL139	1.2203109041655045	1.1444273142694605	2.8671581375014727	2.2698417328252454	0.8670392875786197	1.6737554752680608
MMVL30_FL66	1.2203109041655045	1.1444273142694605	2.8671581375014727	2.2698417328252454	0.8670392875786197	1.6737554752680608
MMVL30_FL85	0.06504670963348712	0.018899928047960878	0.49137000500961064	0.46543111100646795	0.8522033967243547	0.3785902300843763
